t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok,node_id
373,-2.2253077272727273,1.0689367272727273,0.0,230.9090909090909,5094.454545454545,-1.295295,68.0,65.0,0.0,0.0,243.43200000000945,0.0,35.0,214.0,373,2,1.0,True,32.0
374,-2.232635,1.149832,0.0,231.75,5112.25,-1.295295,84.75,65.0,0.0,0.0,246.56399999999266,0.0,35.0,214.0,374,2,1.0,True,32.0
375,-2.2337457272727272,1.199344,0.06087430545454546,258.09090909090907,5705.090909090909,-1.2826295454545455,85.72727272727273,65.0,70.54545454545455,51.09090909090909,280.2239999999874,0.0,35.0,214.0,375,2,1.0,True,31.0
376,-2.2116450000000003,1.195079090909091,0.09115675636363636,269.1818181818182,5947.090909090909,-1.2534788181818182,87.27272727272727,65.0,95.81818181818181,86.72727272727273,287.7840000000084,0.0,35.0,214.0,376,2,1.0,True,31.0
377,-2.1945723333333333,1.1897455000000001,0.078029845,273.3333333333333,6052.916666666667,-1.2809428333333335,86.83333333333333,65.0,56.416666666666664,100.0,290.08800000000633,0.0,35.0,214.0,377,2,1.0,True,32.0
378,-2.193449,1.1894205,0.077852585,276.0,6114.0,-1.3472445,77.5,65.0,56.5,100.0,143.45999999999478,0.0,35.0,214.0,378,2,1.0,True,32.0
379,-2.1844496666666666,1.1887588333333332,0.07636359999999999,274.8333333333333,6075.75,-1.4125430833333334,67.08333333333333,65.0,53.5,100.0,291.0599999999948,0.0,35.0,214.0,379,2,1.0,True,32.0
380,-2.1671024545454545,1.1871373636363638,0.07781390818181819,274.09090909090907,6063.818181818182,-1.508435181818182,73.27272727272727,65.0,56.0,100.0,295.05599999999686,0.0,35.0,214.0,380,2,1.0,True,32.0
381,-2.164891909090909,1.1809269090909091,0.08160405090909091,278.45454545454544,6157.545454545455,-1.5509518181818185,80.45454545454545,65.0,80.63636363636364,82.81818181818181,293.97600000001256,0.0,35.0,214.0,381,2,1.0,True,32.0
382,-2.1566675454545456,1.1512638181818182,0.13311901272727275,282.8181818181818,6259.545454545455,-1.4441885454545456,88.63636363636364,64.81818181818181,188.27272727272728,78.0909090909091,301.35599999999687,0.0,35.0,214.0,382,2,1.0,True,32.0
383,-2.125159,1.0286928,0.25038137272727273,296.09090909090907,6565.545454545455,-1.3595073636363635,88.72727272727273,64.0,230.63636363636363,270.6363636363636,318.7079999999958,0.0,35.0,214.0,383,2,1.0,True,32.0
384,-2.096399818181818,0.8106793,0.2427624090909091,293.09090909090907,6501.454545454545,-1.5200522727272727,87.45454545454545,64.0,186.1818181818182,299.0,310.6440000000032,0.0,35.0,214.0,384,2,1.0,True,32.0
385,-2.1151265833333333,0.5788449,0.22515565,292.9166666666667,6492.333333333333,-1.75635175,79.91666666666667,64.0,150.91666666666666,299.0,312.3719999999885,0.0,35.0,218.0,385,2,1.0,True,32.0
386,-2.1753768181818183,0.38095337272727275,0.2086898272727273,291.54545454545456,6470.545454545455,-2.049169272727273,78.0909090909091,64.0,118.0909090909091,299.0,151.7039999999979,0.0,35.0,218.0,386,2,1.0,True,35.0
387,-2.2884309166666665,0.24725254166666666,0.20555069166666665,288.9166666666667,6412.916666666667,-2.36498725,82.08333333333333,64.0,111.25,299.0,312.660000000021,0.0,35.0,218.0,387,2,1.0,True,35.0
388,-2.4556417272727273,0.1366856272727273,0.21325345454545455,289.72727272727275,6427.818181818182,-2.6956593636363637,90.0,64.0,127.18181818181819,299.0,309.99600000000214,0.0,35.0,218.0,388,2,1.0,True,35.0
389,-2.611403909090909,0.07403623818181818,0.10388080363636364,277.1818181818182,6135.818181818182,-2.9202870909090906,94.9090909090909,64.81818181818181,69.18181818181819,138.36363636363637,295.63199999998324,0.0,35.0,218.0,389,2,1.0,True,35.0
390,-2.6889939999999997,0.054360897500000005,0.0778525875,274.5,6073.75,-3.0099825,96.25,65.0,56.0,100.0,291.6720000000147,0.0,35.0,218.0,390,2,1.0,True,35.0
391,-2.757613181818182,0.046350637272727264,0.031326673636363635,263.90909090909093,5832.818181818182,-3.0818736363636363,97.0,65.0,23.181818181818183,39.81818181818182,277.4879999999801,0.0,35.0,218.0,391,2,1.0,True,35.0
392,-2.7728315454545456,0.04054138636363636,0.0,235.0,5184.0,-3.098552454545455,97.72727272727273,65.0,0.0,0.0,250.63200000000944,0.0,35.0,218.0,392,2,1.0,True,35.0
393,-2.773777,0.03817775,0.0,235.0,5184.0,-3.099187,99.0,65.0,0.0,0.0,125.56799999999058,0.0,35.0,218.0,393,2,1.0,True,35.0
394,-2.773777,0.03817775,0.0,235.0,5184.0,-3.099187,99.0,65.0,0.0,0.0,248.4,0.0,35.0,218.0,394,2,1.0,True,35.0
395,-2.773777,0.03817775,0.0,235.0,5184.0,-3.099187,99.0,65.0,0.0,0.0,251.67600000001258,0.0,35.0,218.0,395,2,1.0,True,35.0
396,-2.773777,0.03817775,0.0,235.0,5184.0,-3.099187,99.0,65.0,0.0,0.0,249.37199999998847,0.0,35.0,218.0,396,2,1.0,True,35.0
397,-2.773777,0.03817775,0.0,235.0,5184.0,-3.099187,99.0,65.0,0.0,0.0,251.7120000000199,0.0,35.0,218.0,397,2,1.0,True,35.0
398,-2.773777,0.03817775,0.0,235.0,5184.0,-3.099187,99.0,65.0,0.0,0.0,254.0879999999801,0.0,35.0,218.0,398,2,1.0,True,35.0
399,-2.7757715454545457,0.03852104090909091,0.01670756,242.63636363636363,5355.272727272727,-3.0998620909090913,99.0,65.0,15.636363636363637,17.818181818181817,263.3039999999979,0.0,5.0,218.0,399,2,1.0,True,35.0
400,-2.8862307272727272,0.037126574545454545,0.2153032109090909,287.1818181818182,6364.090909090909,-3.0942155454545457,97.63636363636364,64.36363636363636,220.9090909090909,210.0909090909091,310.1400000000052,0.0,5.0,218.0,400,2,1.0,True,35.0
401,-3.151575166666667,0.01713371816666667,0.29818675,292.3333333333333,6486.0,-3.0834320833333333,96.08333333333333,64.0,297.3333333333333,299.0,309.9240000000136,0.0,5.0,222.0,401,2,1.0,True,33.0
402,-3.4557005,0.004408034,0.29737135,289.5,6417.0,-3.088286,97.5,64.0,295.0,299.0,157.14000000000524,0.0,5.0,222.0,402,2,1.0,True,33.0
403,-3.696512,-0.006321605583333333,0.29733594166666666,292.9166666666667,6498.916666666667,-3.0927830833333334,98.91666666666667,64.0,294.9166666666667,299.0,310.35599999999687,0.0,5.0,222.0,403,2,1.0,True,33.0
404,-4.011541363636364,-0.015885673545454546,0.29837692727272724,294.8181818181818,6544.363636363636,-3.0985228181818183,99.0,64.0,297.0,299.0,314.96399999999267,0.0,5.0,226.0,404,2,1.0,True,6.0
405,-4.237854727272727,-0.021770518181818185,0.21004340909090907,273.09090909090907,6041.818181818182,-3.100256,99.81818181818181,64.81818181818181,209.54545454545453,210.36363636363637,292.42799999998533,0.0,5.0,226.0,405,2,1.0,True,6.0
406,-4.36696725,-0.026765555,0.09976191,267.75,5924.5,-3.1009665,99.25,65.0,99.5,100.5,286.2360000000074,0.0,5.0,226.0,406,2,1.0,True,6.0
407,-4.442286,-0.031263381666666666,0.034778409,267.9166666666667,5924.583333333333,-3.0918007500000004,98.83333333333333,64.83333333333333,50.333333333333336,19.25,283.60799999999585,0.0,5.0,224.0,407,2,1.0,True,6.0
408,-4.456470727272727,-0.04126650181818182,0.000425424,276.45454545454544,6122.090909090909,-2.9231665454545452,97.0909090909091,64.63636363636364,97.81818181818181,-97.18181818181819,296.4240000000136,0.0,5.0,224.0,408,2,1.0,True,6.0
409,-4.457317583333333,-0.04800014558333334,0.000425424,276.25,6116.5,-2.6059000833333337,90.33333333333333,64.91666666666667,100.0,-99.0,298.9079999999958,0.0,5.0,224.0,409,2,1.0,True,6.0
410,-4.45766,-0.006373756500000001,0.00042542399999999993,278.0,6159.0,-2.229439,86.5,64.0,100.0,-99.0,144.64800000000105,0.0,5.0,224.0,410,2,1.0,True,6.0
