t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
47,-2.2468725833333334,16.27627083333333,0.2992858,292.25,6582.25,1.5915584999999999,93.83333333333333,61.0,299.0,299.0,313.91999999993715,0.0,2.0,34.0,47,1,1.0,True
48,-2.2534,16.567179,0.29911560000000004,288.9,6511.5,1.5929686,94.9,61.0,298.6,299.0,312.12000000004195,0.0,2.0,34.0,48,1,1.0,True
49,-2.2584353333333334,16.878371666666666,0.298364,289.6666666666667,6533.5,1.5971271666666667,95.33333333333333,61.0,297.3333333333333,299.0,307.8,0.0,2.0,34.0,49,1,1.0,True
50,-2.267611818181818,17.19505818181818,0.29860895454545455,292.90909090909093,6609.181818181818,1.5943548181818181,96.0,61.0,297.90909090909093,299.0,313.9200000000419,0.0,2.0,78.0,50,1,1.0,True
51,-2.2737243333333335,17.443415833333336,0.29939215,292.3333333333333,6596.916666666667,1.5931886666666666,96.75,61.0,299.0,299.0,308.5199999999371,0.0,2.0,82.0,51,1,1.0,True
52,-2.2803901818181815,17.715189090909092,0.2989183454545455,290.8181818181818,6563.545454545455,1.5921482727272727,97.18181818181819,61.0,298.8181818181818,298.45454545454544,308.52000000004193,0.0,2.0,110.0,52,1,1.0,True
53,-2.286743083333333,18.00017,0.2984349,291.3333333333333,6574.166666666667,1.59427425,99.08333333333333,61.0,297.6666666666667,298.8333333333333,315.0,0.0,2.0,114.0,53,1,1.0,True
54,-2.2906524999999998,18.304125,0.29864765,294.0,6646.5,1.5955675,100.0,61.0,299.0,298.0,157.31999999993715,0.0,2.0,54.0,54,1,1.0,True
55,-2.2972753333333333,18.553941666666667,0.29910850833333336,293.25,6622.833333333333,1.5965970833333334,100.0,61.0,298.5833333333333,299.0,308.88000000006286,0.0,2.0,54.0,55,1,1.0,True
56,-2.3046656666666667,18.859870833333336,0.2984349333333333,288.5833333333333,6513.0,1.5983075833333336,100.0,61.0,297.1666666666667,299.0,313.2,0.0,2.0,54.0,56,1,1.0,True
57,-2.3080594545454542,19.117769090909093,0.2989183818181818,288.6363636363636,6513.636363636364,1.5973764545454545,100.0,61.0,299.0,298.45454545454544,309.2399999999791,0.0,2.0,54.0,57,1,1.0,True
58,-2.310027,19.42555909090909,0.2974100181818182,292.09090909090907,6599.0,1.6000027272727273,100.0,61.0,299.0,295.6363636363636,311.03999999997905,0.0,2.0,54.0,58,1,1.0,True
59,-2.3157039090909093,19.679206363636364,0.29872496363636364,294.27272727272725,6643.727272727273,1.6034061818181817,100.0,61.0,299.0,298.1818181818182,314.28000000006284,0.0,2.0,54.0,59,1,1.0,True
60,-2.325769833333333,19.985963333333334,0.29829313333333335,290.5,6553.166666666667,1.6038263333333334,100.0,61.0,297.1666666666667,299.0,308.8799999999581,0.0,2.0,54.0,60,1,1.0,True
61,-2.333765909090909,20.27812090909091,0.2990343909090909,289.54545454545456,6539.272727272727,1.601132818181818,99.45454545454545,61.0,298.27272727272725,299.0,309.96000000002095,0.0,2.0,58.0,61,1,1.0,True
