t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
979,-3.422500454545455,18.908375454545453,0.29845424545454546,288.54545454545456,6595.090909090909,1.6043044545454543,98.27272727272727,58.0,299.0,297.54545454545456,307.0799999999581,0.0,1.0,70.0,979,1,1.0,True
980,-3.4266872727272726,19.192421818181817,0.2986476,287.90909090909093,6586.272727272727,1.6085979090909093,99.81818181818181,58.0,298.72727272727275,298.27272727272725,311.03999999997905,0.0,1.0,70.0,980,1,1.0,True
981,-3.4337319999999996,19.45265090909091,0.2988023454545454,288.6363636363636,6605.181818181818,1.6089353636363635,100.0,58.0,298.72727272727275,298.6363636363636,308.88000000006286,0.0,1.0,70.0,981,1,1.0,True
982,-3.4408423636363636,19.78003181818182,0.29868632727272726,291.3636363636364,6666.363636363636,1.6098913636363639,100.0,58.0,298.6363636363636,298.45454545454544,306.71999999993716,0.0,1.0,70.0,982,1,1.0,True
983,-3.450314818181818,20.03542818181818,0.29802883636363636,289.90909090909093,6637.454545454545,1.6075927272727275,100.0,58.0,296.6363636363636,298.90909090909093,305.63999999997907,0.0,1.0,74.0,983,1,1.0,True
984,-3.4561116666666667,20.342693333333333,0.29886035,287.0,6563.75,1.6069701666666667,100.0,58.0,298.9166666666667,298.5833333333333,309.2400000000838,0.0,1.0,74.0,984,1,1.0,True
985,-3.4625333636363638,20.60097272727273,0.29884100909090905,286.6363636363636,6560.272727272727,1.606654090909091,100.0,58.0,298.45454545454544,299.0,154.0799999999581,0.0,1.0,74.0,985,1,1.0,True
986,-3.471711727272727,20.878574545454544,0.2986862818181818,290.27272727272725,6649.545454545455,1.6044644545454545,100.0,58.0,298.45454545454544,299.0,309.96000000002095,0.0,1.0,74.0,986,1,1.0,True
987,-3.4775175,21.151358333333334,0.29900218333333334,291.1666666666667,6656.5,1.6045298333333333,100.0,58.0,299.0,299.0,310.6799999999581,0.0,1.0,74.0,987,1,1.0,True
988,-3.4843734166666667,21.452855,0.29648504166666667,284.25,6502.083333333333,1.603765,100.0,58.25,296.75,295.9166666666667,304.9200000000419,0.0,1.0,74.0,988,1,1.0,True
989,-3.490502818181818,21.656919090909092,0.15164430545454546,264.90909090909093,6048.090909090909,1.6030917272727272,100.0,59.0,151.8181818181818,151.54545454545453,285.11999999993714,0.0,1.0,74.0,989,1,1.0,True
990,-3.4938369999999996,21.761996666666665,0.095365875,263.5,6004.5,1.6027251666666666,100.0,59.0,95.66666666666667,95.83333333333333,279.0,0.0,1.0,74.0,990,1,1.0,True
1012,-3.4887378181818183,21.614978181818184,0.28441527272727274,291.0,6653.0,-1.5498691818181818,97.27272727272727,58.0,280.1818181818182,288.6363636363636,307.0799999999581,0.0,4.0,72.0,1012,1,1.0,True
1013,-3.4903561000000005,21.364752,0.29694594999999996,290.7,6656.7,-1.5523278,98.0,58.0,297.5,296.0,307.44000000008384,0.0,4.0,72.0,1013,1,1.0,True
1014,-3.484595,21.05581833333333,0.2975132,287.8333333333333,6581.166666666667,-1.5499821666666669,97.66666666666667,58.0,298.0,296.3333333333333,306.3599999999162,0.0,4.0,72.0,1014,1,1.0,True
1015,-3.481019272727273,20.764996363636364,0.2984929727272727,287.8181818181818,6586.545454545455,-1.5449958181818182,99.63636363636364,58.0,299.0,297.54545454545456,306.7200000000419,0.0,4.0,72.0,1015,1,1.0,True
1016,-3.474279166666667,20.4827725,0.29917944166666666,290.5,6641.083333333333,-1.5442249166666666,100.0,58.0,299.0,298.8333333333333,312.12000000004195,0.0,4.0,72.0,1016,1,1.0,True
1017,-3.469184,20.208599999999997,0.2984349,292.0,6680.5,-1.5427425,100.0,58.0,298.5,298.0,157.67999999995808,0.0,4.0,72.0,1017,1,1.0,True
1018,-3.4610299999999996,19.93167166666667,0.2986476,287.75,6575.25,-1.5432486666666667,100.0,58.0,298.0,299.0,307.8,0.0,4.0,68.0,1018,1,1.0,True
1019,-3.4477263333333332,19.63627,0.2980095,284.6666666666667,6503.0,-1.5483443333333333,100.0,58.0,296.5,299.0,309.2399999999791,0.0,4.0,68.0,1019,1,1.0,True
1020,-3.4437719090909087,19.368084545454543,0.2987636727272727,287.0,6568.636363636364,-1.5506472727272729,100.0,58.0,298.8181818181818,298.45454545454544,302.76000000002097,0.0,4.0,68.0,1020,1,1.0,True
1021,-3.441814090909091,19.079235454545454,0.2983768909090909,292.6363636363636,6692.818181818182,-1.5459674545454545,99.81818181818181,58.0,299.0,297.3636363636364,312.83999999997906,0.0,4.0,68.0,1021,1,1.0,True
1022,-3.4367435,18.799145,0.2985058333333333,291.3333333333333,6658.833333333333,-1.5431381666666668,99.33333333333333,58.0,299.0,297.1666666666667,309.96000000002095,0.0,4.0,68.0,1022,1,1.0,True
1023,-3.4319804545454544,18.495580909090908,0.29771941818181813,289.1818181818182,6605.909090909091,-1.5399578181818183,98.18181818181819,58.0,298.72727272727275,296.6363636363636,303.47999999995807,0.0,4.0,68.0,1023,1,1.0,True
1024,-3.4211589166666667,18.230363333333333,0.2985413083333333,286.5833333333333,6559.916666666667,-1.5418086666666666,99.83333333333333,58.0,297.75,299.0,310.6800000000629,0.0,4.0,140.0,1024,1,1.0,True
1025,-3.4120865,17.92463,0.29886035,287.5,6579.0,-1.544205,98.5,58.0,298.5,299.0,150.4799999999581,0.0,4.0,140.0,1025,1,1.0,True
1026,-3.4029629999999997,17.66740916666667,0.26340835,287.1666666666667,6564.833333333333,-1.5523317499999998,99.5,58.0,240.16666666666666,286.5,309.6,0.0,4.0,168.0,1026,1,1.0,True
1027,-3.4154815,17.46221,0.15620151666666668,284.6666666666667,6514.5,-1.7846285,97.83333333333333,58.0,18.666666666666668,293.3333333333333,299.88000000006286,0.0,4.0,168.0,1027,1,1.0,True
1028,-3.4660567272727274,17.362124545454545,0.10535046363636363,281.54545454545456,6430.454545454545,-2.3237344545454546,95.63636363636364,58.0,-64.72727272727273,275.1818181818182,302.4,0.0,4.0,164.0,1028,1,1.0,True
1029,-3.5535387272727275,17.314709999999998,0.12801393636363637,284.27272727272725,6492.272727272727,-1.7786268181818181,96.72727272727273,58.0,-25.636363636363637,281.54545454545456,299.1599999999162,0.0,4.0,164.0,1029,1,1.0,True
1030,-3.7375396666666667,17.32935,0.22107866666666665,292.3333333333333,6690.166666666667,2.0666621666666667,85.83333333333333,58.0,216.33333333333334,225.33333333333334,309.2400000000838,0.0,4.0,182.0,1030,1,1.0,True
1031,-3.97080775,17.306726666666666,0.28716118333333335,295.8333333333333,6789.166666666667,-3.1007259166666667,90.58333333333333,58.0,298.75,274.8333333333333,310.6799999999581,0.0,4.0,182.0,1031,1,1.0,True
1032,-4.246563818181818,17.289306363636364,0.29663656363636365,290.72727272727275,6659.454545454545,-3.0922970909090908,95.0,58.0,293.8181818181818,299.0,158.03999999997905,0.0,4.0,182.0,1032,1,1.0,True
1033,-4.535409,17.29453,0.29779675,291.0,6646.5,-3.0850615,98.0,58.0,296.0,299.0,308.16000000002094,0.0,4.0,186.0,1033,1,1.0,True
1034,-4.822618454545455,17.281437272727274,0.2398617818181818,280.1818181818182,6399.090909090909,-3.0898275454545456,99.54545454545455,58.36363636363637,238.72727272727272,240.8181818181818,303.12000000004195,0.0,4.0,186.0,1034,1,1.0,True
1035,-4.975656999999999,17.277732727272728,0.10353274909090909,262.6363636363636,5986.0,-3.0916623636363636,99.36363636363636,59.0,103.45454545454545,103.54545454545455,280.0799999999581,0.0,4.0,186.0,1035,1,1.0,True
1053,-5.0675305,17.26579,0.10731320500000001,275.5,6290.0,0.0331366025,95.5,58.25,106.25,108.5,290.88000000006286,0.0,1.0,184.0,1053,1,1.0,True
1054,-4.8974063333333335,17.263434999999998,0.2868775666666667,289.0,6599.833333333333,0.022887003333333333,98.16666666666667,58.0,281.5,292.0,311.03999999997905,0.0,1.0,184.0,1054,1,1.0,True
1055,-4.594222272727273,17.26416818181818,0.2976421,288.1818181818182,6583.909090909091,0.019254085454545457,98.9090909090909,58.0,299.0,295.6363636363636,303.1200000000419,0.0,1.0,184.0,1055,1,1.0,True
1056,-4.322165545454546,17.266488181818183,0.2981061909090909,289.09090909090907,6618.818181818182,0.024244872727272725,97.45454545454545,58.0,299.0,296.72727272727275,158.75999999991618,0.0,1.0,180.0,1056,1,1.0,True
1057,-4.041178181818181,17.275176363636362,0.29887969090909094,288.6363636363636,6600.454545454545,0.02516252545454545,98.45454545454545,58.0,298.54545454545456,299.0,307.8,0.0,1.0,180.0,1057,1,1.0,True
1058,-3.7707923636363634,17.282110909090907,0.28371914545454546,284.27272727272725,6494.272727272727,0.02851668181818182,98.0909090909091,58.0,296.3636363636364,271.0,306.36000000002093,0.0,1.0,166.0,1058,1,1.0,True
1059,-3.5594024999999996,17.30491,0.14046085,283.5,6485.166666666667,0.24779159833333333,91.66666666666667,58.0,284.0,-2.8333333333333335,297.0,0.0,1.0,166.0,1059,1,1.0,True
1060,-3.4682659090909094,17.365177272727273,0.10198573818181816,280.72727272727275,6413.818181818182,0.8999178727272727,91.81818181818181,58.0,270.45454545454544,-66.45454545454545,298.0800000000629,0.0,1.0,170.0,1060,1,1.0,True
1061,-3.439046454545455,17.46375909090909,0.15272719090909093,280.90909090909093,6422.181818181818,1.396063909090909,95.81818181818181,58.0,292.45454545454544,13.181818181818182,304.2,0.0,1.0,170.0,1061,1,1.0,True
1062,-3.4390723333333333,17.668413333333334,0.25397813333333336,289.3333333333333,6622.666666666667,1.6157728333333334,97.16666666666667,58.0,258.8333333333333,249.0,313.55999999991616,0.0,1.0,142.0,1062,1,1.0,True
1063,-3.444948363636364,17.919301818181818,0.2923049545454546,290.09090909090907,6642.636363636364,1.5657709090909089,98.27272727272727,58.0,285.54545454545456,298.54545454545456,307.0800000000629,0.0,1.0,146.0,1063,1,1.0,True
1064,-3.4405159999999997,18.223387272727276,0.29624979090909087,289.3636363636364,6628.090909090909,1.5633034545454547,97.0,58.0,299.0,292.90909090909093,156.6,0.0,1.0,146.0,1064,1,1.0,True
1065,-3.4359958181818184,18.472552727272728,0.2958630636363636,287.54545454545456,6581.454545454545,1.5732533636363635,97.9090909090909,58.0,299.0,292.45454545454544,306.36000000002093,0.0,1.0,70.0,1065,1,1.0,True
1066,-3.4365020000000004,18.781196666666666,0.2972650416666667,287.5833333333333,6582.0,1.58432,99.0,58.0,299.0,294.8333333333333,312.47999999995807,0.0,1.0,70.0,1066,1,1.0,True
1067,-3.4369363636363635,19.05829818181818,0.29783547272727273,288.0,6582.727272727273,1.592119,99.36363636363636,58.0,299.0,296.09090909090907,309.6,0.0,1.0,70.0,1067,1,1.0,True
1068,-3.4380552499999997,19.330987500000003,0.29832854999999997,291.0,6661.166666666667,1.5985593333333334,100.0,58.0,299.0,297.25,308.160000000021,0.0,1.0,70.0,1068,1,1.0,True
1069,-3.440762818181818,19.589224545454545,0.2979901818181818,290.6363636363636,6650.818181818182,1.601887909090909,100.0,58.0,299.0,296.27272727272725,308.160000000021,0.0,1.0,70.0,1069,1,1.0,True
